article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
3247,Privilege of consignee or agent on merchandise consigned.,"Every consignee or commission agent who has made advances on goods consigned to him, or placed in his hands to be sold for account of the consignor, has a privilege for the amount of these advances, with interest and charges on the value of the goods, if they are at his disposal in his stores, or in a public warehouse, or if, before their arrival, he can show, by a bill of lading or letter of advice, that they have been dispatched to him.
This privilege extends to the unpaid price of the goods which the consignee or agent shall have thus received and sold.
Every consignee, commission agent or factor shall have a privilege, preferred to any attaching creditor, on the goods consigned to him for any balance due him, whether specially advanced on such goods or not; provided they have been received by him, or an invoice or bill of lading has been received by him previous to the attachment; provided, that the privilege established by this article shall not have a preference over a privilege pre-existing on the goods aforesaid in behalf of a resident creditor of this State.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3248,Rights of consignor on insolvency of consignee or agent.,"In the event of the failure of the consignee or commission agent, the consignor has not only a right to reclaim the goods sent by him, and which remain unsold in the hands of the consignee or agent, if he can prove their identity, but he has also a privilege on the price of such as have been sold, if the price has not been paid by the purchaser, or passed into account current between him and the bankrupt.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3249,Special privileges on immovables,"Creditors who have a privilege on immovables are:
            (1)  The vendor on the estate by him sold, for the payment of the price or so much of
it as is unpaid, whether it was sold on or without a credit.
            (2)   Those who are granted special privileges on immovables by legislation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,4-OF PRIVILEGES ON IMMOVABLES,,
3250,Extent of vendor's privilege.,"The privilege granted to the vendor on the immovable sold by him, extends to the beasts and agricultural implements attached to the estate, and which made part of the sale.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,4-OF PRIVILEGES ON IMMOVABLES,,
3251,"Successive sales, preference among vendors ","If there are several successive sales, on which the price is due wholly or in part, the first vendor is preferred to the second, the second to the third, and so throughout and as provided by Article 3186, and assuming timely recordation as provided in Article 3274, each such vendor is preferred to the previously recorded mortgages of his vendees and their successors.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,4-OF PRIVILEGES ON IMMOVABLES,,
3252,General privileges on both movables and immovables.,"The privileges which extend alike to movables and immovables are the following: 
1.  Funeral charges.
2.  Judicial charges.
3.  Expenses of last illness.
4.  The wages of servants.
5.  The salaries of secretaries, clerks and other agents of that kind.
Whenever a surviving spouse or minor children of a deceased person shall be left in necessitous circumstances, and not possess in their own rights property to the amount of one thousand dollars, the surviving spouse or the legal representatives of the children, shall be entitled to demand and receive from the succession of the deceased spouse or parent, a sum which added to the amount of property owned by them, or either of them, in their own right, will make up the sum of one thousand dollars, and which amount shall be paid in preference to all other debts, except those secured by the vendor's privilege on both movables and immovables, conventional mortgages, and expenses incurred in selling the property.  The surviving spouse shall have and enjoy the usufruct of the amount so received from the deceased spouse's succession, until remarriage, which amount shall afterwards vest in and belong to the children or other descendants of the deceased spouse.
(Amended by Acts 1917, Ex.Sess.) No. 17; Acts 1918, No. 242; Acts 1979, No. 711, §1.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,5 - OF PRIVILEGES WHICH EMBRACE BOTH  MOVABLES AND IMMOVABLES,,
3253,Order of payment of privileges; debtor's movables taken before immovables.,"When, for want of movables, the creditors, who have a privilege according to the preceding article, demand to be paid out of the proceeds of the immovables of the debtor, the payment must be made in the order laid down in the following chapter.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,5 - OF PRIVILEGES WHICH EMBRACE BOTH  MOVABLES AND IMMOVABLES,,
3254,Special privileges prime general privileges on movables; ranking among general privileges when movables sufficient.,"If the movable property, not subject to any special privilege, is sufficient to pay the debts which have a general privilege on the movables, those debts are paid in the following order: 
Funeral charges are the first paid.
Law charges, the second.
Expenses of the last illness, the third.
The wages of servants, the fourth.
Supplies of provisions, the fifth.
The salaries of clerks, secretaries, and others of that nature, the sixth. 
The thousand dollars secured by law to the surviving spouse or minor children, as set forth in Article 3252, shall be paid in preference to all other debts, except those for the vendor's privileges and expenses incurred in selling the property.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3255,Order of payment when available movables insufficient.,"But when part of the movables are subject to special privileges, and the remainder of the movables are not sufficient to discharge the debts having a privilege on the whole mass of movables, or if there be equality* between the special privileges, the following rules shall direct the determination.
*In this context, the French word ""concurrence"" would be translated more properly by ""competition"" than by ""equality.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3256,Lessor's privilege primed by costs of sale.,"Whatever may be the privilege of the lessor, charges for selling the movables subjected to it are paid before that which is due for the rent, because it is these charges which procure the payment of the rent.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3257,Lessor's privilege primed by funeral charges.,"The case is the same with respect to the funeral expenses of the debtor and his family; when there is no other source from which they can be paid, they have a preference over the debt for rent or hire, on the price of the movables contained in the house or on the farm.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3258,Lessor's privilege primes other general privileges.,"But the lessor has a preference on the price of these movables, over all the other privileged debts of the deceased, such as expenses of the last illness, and others which have a general privilege on the movables.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3259,Lessor's privilege on crops primed by supplies and labor.,"With regard to the crops which are subject to the lessor's privilege, the expenses for seed and labor, the wages of overseers and managers are to be paid out of the product of the year, in preference to the lessor's debt. 
So, also, he who supplied the farming utensils, and who has not been paid, is paid in preference to the lessor out of the price of their sale.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3260,Ranking between privileges of lessor and depositor.,"If, among the movables with which the house or farm, or any other thing subject to the lessor's privilege, is provided, there should be some which were deposited by a third person in the hands of the lessor* or farmer, the lessor shall have a preference over the depositary** on the things deposited for the payment of his rent, if there are no other movables subject to his privilege, or if they are not sufficient; unless it be proved that the lessor knew that the things deposited did not belong to his tenant or farmer.
*Note error in English translation of French text; ""lessor"" should be ""lessee.""
**Note error in English translation of French text; ""depositary"" should be ""depositor.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3261,Depositor's privilege and other privileges.,"With the exception stated in the foregoing article, the privilege of the depositor on the thing deposited is not preceded by any other privileged debt, even funeral expenses, unless it be that the depositor must contribute to the expense of sealing and making inventory, because this expense is necessary to the preservation of the deposit.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3262,Privilege for expenses of preservation and other privileges.,"The privilege of him who has taken care of the property of another, has a preference over that property, for the necessary expenses which he incurred, above all the other claims for expenses, even funeral charges; his privilege yields only to that for the charges on the sale of the thing preserved.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3263,Vendor's privilege and other privileges.,"The privilege of the vendor on movables sold by him, which are still in the possession of the vendee, yields to that of the owner of the house or farm which they serve to furnish or supply, for his rents.  It yields also to the charges for affixing seals and making inventories, but not to the funeral or other expenses of the debtor.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3264,Privilege of innkeepers.,"The privilege of innkeepers on the effects of travelers deceased in their house, is postponed to funeral and law charges, but is preferred* to all the other privileged debts of the deceased.
*English translation of French text incomplete; should include ""on the price of these effects.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
3265,Privilege of carriers.,"The privilege of carriers, for the cost of transportation and incidental expenses, yields only to the charges which would arise on the sale of the goods.
The case is the same respecting the freight of goods carried on board a ship or other vessels [vessel].",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,6 - OF THE ORDER IN WHICH PRIVILEGED CREDITORS ARE TO BE PAID,,
